ردیف,بخش,شناسه,پرسیده‌شده,پلتفرم,نوع,عنوان,متن,تأیید (تأیید/اصلاح/حذف),توضیح شما
31,رویه‌های مشترک متاتریدر ۴ و ۵,MT-PROC-0007,,هر دو,رویه,پروفایل: ذخیره‌ی چیدمان چند چارت,"پروفایل، مجموعه‌ی چارت‌های باز به‌همراه چیدمان آن‌ها را ذخیره می‌کند. با تعویض پروفایل، همه‌ی چارت‌ها و تنظیماتشان یک‌جا عوض می‌شوند؛ مناسب برای جدا کردن فضای کاری فارکس، طلا و شاخص‌ها.

گام‌ها:
1. چارت‌ها را به چیدمان دلخواه مرتب کنید.
2. منوی File > Profiles > Save As را بزنید و نامی انتخاب کنید.
3. برای بازگشت، همان پروفایل را از File > Profiles انتخاب کنید.",,
32,رویه‌های مشترک متاتریدر ۴ و ۵,MT-PROC-0008,,هر دو,رویه,رسم اشیاء گرافیکی و مدیریت آن‌ها,"خط روند، خط افقی، کانال، فیبوناچی و سایر ابزارها از منوی Insert یا نوار ابزار در دسترس‌اند. برای ویرایش دقیق مختصات یا حذف گروهی، از فهرست اشیاء (Object List) استفاده می‌شود.

گام‌ها:
1. ابزار موردنظر را از منوی Insert یا نوار ابزار انتخاب کنید.
2. روی چارت کلیک کنید تا شیء رسم شود.
3. برای ویرایش، روی شیء دوبار کلیک و سپس راست‌کلیک > Properties را بزنید.
4. برای مدیریت همه‌ی اشیاء، Ctrl+B (Object List) را باز کنید.",,
33,رویه‌های مشترک متاتریدر ۴ و ۵,MT-PROC-0010,,هر دو,رویه,بستن معامله: کامل، جزئی و بستن متقابل,"برای بستن کامل، از تب Trade روی معامله راست‌کلیک و گزینه‌ی بستن را انتخاب کنید. برای بستن جزئی، در پنجره‌ی بستن حجمی کمتر از حجم فعلی وارد کنید. اگر دو معامله‌ی خرید و فروش روی یک نماد باز باشد، می‌توان آن‌ها را با گزینه‌ی Close By در برابر هم بست.

گام‌ها:
1. Toolbox/Terminal را باز کنید و به تب Trade بروید.
2. روی معامله راست‌کلیک کنید.
3. برای بستن کامل، گزینه‌ی Close را بزنید.
4. برای بستن جزئی، حجم کمتر را وارد و سپس بستن را تأیید کنید.
5. برای بستن متقابل، Close By را انتخاب و معامله‌ی مقابل را مشخص کنید.

هشدارها:
- گزینه‌ی Close By فقط در حالت Hedging معنا دارد و در حساب‌های Netting متاتریدر ۵ وجود ندارد.",,
34,رویه‌های مشترک متاتریدر ۴ و ۵,MT-PROC-0011,,هر دو,رویه,تنظیم Trailing Stop,"تریلینگ استاپ حد ضرر را با حرکت قیمت به‌نفع معامله جابه‌جا می‌کند. در متاتریدر این قابلیت سمت ترمینال اجرا می‌شود، نه سمت سرور؛ بنابراین با بستن پلتفرم یا قطع اینترنت متوقف می‌شود.

گام‌ها:
1. در تب Trade روی معامله راست‌کلیک کنید.
2. گزینه‌ی Trailing Stop را باز کنید.
3. فاصله‌ی موردنظر بر حسب پوینت را انتخاب کنید (یا Custom را بزنید).
4. برای غیرفعال کردن، همان منو و گزینه‌ی None را انتخاب کنید.

هشدارها:
- با بسته شدن ترمینال، تریلینگ استاپ کار نمی‌کند؛ برای اجرای دائمی به VPS نیاز دارید.",,
35,رویه‌های مشترک متاتریدر ۴ و ۵,MT-PROC-0012,,هر دو,رویه,ساخت هشدار قیمتی (Alert),"با Alert می‌توان هنگام رسیدن قیمت به سطح مشخص، صدا یا پیام دریافت کرد. هشدارها در تب Alerts در Toolbox/Terminal مدیریت می‌شوند و تا زمانی که پلتفرم باز باشد فعال‌اند.

گام‌ها:
1. Toolbox/Terminal را باز کنید و به تب Alerts بروید.
2. روی فهرست راست‌کلیک و Create را بزنید.
3. نماد، شرط (Bid/Ask بیشتر یا کمتر از) و مقدار قیمت را وارد کنید.
4. نوع اقدام (پخش صدا، ارسال ایمیل یا اعلان) را انتخاب و OK بزنید.",,
36,رویه‌های مشترک متاتریدر ۴ و ۵,MT-PROC-0013,,هر دو,رویه,فعال‌سازی اعلان پوش روی موبایل (MetaQuotes ID),"پلتفرم دسکتاپ می‌تواند اعلان‌ها را به اپلیکیشن موبایل متاتریدر ارسال کند. برای این کار، شناسه‌ی MetaQuotes ID از اپلیکیشن موبایل برداشته و در تنظیمات دسکتاپ وارد می‌شود.

گام‌ها:
1. در اپلیکیشن موبایل متاتریدر، بخش تنظیمات و سپس Messages را باز کنید و MetaQuotes ID را کپی کنید.
2. در نسخه‌ی دسکتاپ، Tools > Options و تب Notifications را باز کنید.
3. گزینه‌ی Enable Push Notifications را فعال و MetaQuotes ID را وارد کنید.
4. با دکمه‌ی Test صحت اتصال را بررسی کنید.",,
37,رویه‌های مشترک متاتریدر ۴ و ۵,MT-PROC-0016,,هر دو,رویه,استفاده از VPS یا Virtual Hosting,"برای اجرای دائمی اکسپرت یا تریلینگ استاپ، پلتفرم باید همیشه روشن و متصل باشد. متاتریدر سرویس Virtual Hosting داخلی دارد که محیط ترمینال را روی سرور مجازی نزدیک به سرور بروکر منتقل می‌کند؛ جایگزین آن، اجاره‌ی VPS مستقل و نصب پلتفرم روی آن است.

گام‌ها:
1. در Navigator روی حساب راست‌کلیک کنید.
2. گزینه‌ی Register a Virtual Server را بزنید.
3. مراحل انتخاب پلن و پرداخت را دنبال کنید.
4. پس از فعال شدن، تنظیمات و اکسپرت‌ها را با گزینه‌ی Migrate به سرور مجازی منتقل کنید.

هشدارها:
- سرویس میزبانی مجازی هزینه‌ی جداگانه دارد و در دسترس بودن آن به بروکر و شرایط پرداخت وابسته است.",,
38,رویه‌های مشترک متاتریدر ۴ و ۵,MT-PROC-0020,,هر دو,رویه,پشتیبان‌گیری از تنظیمات، تمپلیت‌ها و اکسپرت‌ها,"همه‌ی تنظیمات شخصی در پوشه‌ی داده ذخیره می‌شوند. با کپی گرفتن از این پوشه می‌توان پیش از نصب مجدد یا انتقال به کامپیوتر دیگر، تمپلیت‌ها، پروفایل‌ها، اندیکاتورها و اکسپرت‌ها را حفظ کرد.

گام‌ها:
1. از File > Open Data Folder پوشه‌ی داده را باز کنید.
2. از پوشه‌ی MQL4 یا MQL5 و پوشه‌ی profiles نسخه‌ی پشتیبان بگیرید؛ در متاتریدر ۴ پوشه‌ی templates هم در ریشه‌ی پوشه‌ی داده است.
3. پس از نصب جدید، همان پوشه‌ها را در پوشه‌ی داده‌ی جدید جای‌گذاری کنید.
4. پلتفرم را ببندید و باز کنید تا تغییرات شناسایی شوند.",,
39,رویه‌های مشترک متاتریدر ۴ و ۵,MT-PROC-0021,,هر دو,رویه,کار با پنجره‌ی Market Watch: ستون‌ها، نمودار تیکی و مجموعه‌ی نمادها,"پنجره‌ی Market Watch علاوه بر قیمت لحظه‌ای، امکان نمایش ستون‌های اضافی (اسپرد، بیشترین، کمترین و زمان)، نمایش نمودار تیکی نماد و ذخیره‌ی مجموعه‌ی نمادهای انتخابی را دارد.

گام‌ها:
1. پنجره‌ی Market Watch را باز کنید (Ctrl+M).
2. روی فهرست راست‌کلیک کنید و ستون‌های موردنظر مثل Spread را فعال کنید.
3. برای دیدن نمودار تیکی، به تب پایین پنجره بروید: در متاتریدر ۴ نامش Tick Chart و در متاتریدر ۵ نامش Ticks است.
4. برای ذخیره‌ی فهرست نمادهای انتخابی، از گزینه‌ی Sets استفاده کنید.",,
40,رویه‌های مشترک متاتریدر ۴ و ۵,MT-PROC-0023,,هر دو,رویه,مدیریت معاملات باز در تب Trade,"تب Trade وضعیت لحظه‌ای حساب و همه‌ی معاملات باز را نشان می‌دهد: حجم، قیمت ورود، حد ضرر، حد سود، سود شناور، سواپ و کارمزد، و در پایین آن بالانس، اکوئیتی، مارجین، مارجین آزاد و سطح مارجین.

گام‌ها:
1. Toolbox/Terminal را باز کنید (Ctrl+T) و به تب Trade بروید.
2. با راست‌کلیک روی سرستون‌ها، ستون‌های موردنظر را نمایش دهید.
3. برای مرتب‌سازی روی عنوان ستون کلیک کنید.
4. برای هر اقدام (ویرایش، بستن، تریلینگ) روی همان ردیف راست‌کلیک کنید.",,
41,دانش پایه و رویه‌های متاتریدر ۵,MT5-PROC-0011,فایل اکسل بک‌تست را از کجا بگیرم؟,فقط متاتریدر ۵,رویه,تستر استراتژی و بهینه‌سازی در متاتریدر ۵,"تستر استراتژی متاتریدر ۵ با Ctrl+R باز می‌شود و امکان تست تک‌نمادی و چندنمادی، انتخاب حالت مدل‌سازی (از جمله تیک‌های واقعی)، بهینه‌سازی پارامترها و اجرای موازی روی چند هسته را دارد.

گام‌ها:
1. کلید Ctrl+R را بزنید تا پنجره‌ی Strategy Tester باز شود.
2. اکسپرت، نماد، تایم‌فریم و بازه‌ی زمانی تست را انتخاب کنید.
3. حالت مدل‌سازی (مثلاً Every tick based on real ticks) و سپرده‌ی اولیه را تعیین کنید.
4. برای بهینه‌سازی، گزینه‌ی Optimization را فعال و بازه‌ی پارامترها را در تب Inputs مشخص کنید.
5. نتیجه را در تب‌های Results، Graph و Report بررسی کنید.

هشدارها:
- نتیجه‌ی بک‌تست تضمینی برای عملکرد آینده نیست و به کیفیت داده‌ی تاریخی و شرایط اسپرد وابسته است.",,
42,دانش پایه و رویه‌های متاتریدر ۵,MT5-PROC-0001,چطور وارد تیم معامله‌گری بشم؟,فقط متاتریدر ۵,رویه,ورود به حساب معاملاتی در متاتریدر ۵,"برای اتصال به حساب در متاتریدر ۵ باید شماره‌ی حساب (Login)، رمز عبور و نام دقیق سرور بروکر را داشته باشید. سرور را حتماً از فهرست سرورهای همان بروکر انتخاب کنید؛ انتخاب سرور اشتباه رایج‌ترین علت خطای اتصال است.

گام‌ها:
1. از منوی File گزینه‌ی Login to Trade Account را انتخاب کنید.
2. نام سرور بروکر را در کادر جست‌وجو وارد و از فهرست انتخاب کنید.
3. شماره حساب و رمز عبور (Master یا Investor) را وارد کنید.
4. روی OK بزنید و وضعیت اتصال را در گوشه‌ی پایین-راست ترمینال بررسی کنید.

اشتباهات رایج:
- وارد کردن رمز سرمایه‌گذار (Investor) به‌جای رمز اصلی؛ در این حالت امکان معامله وجود ندارد.
- انتخاب سرور دمو به‌جای سرور ریل یا برعکس.

هشدارها:
- اگر پیام Invalid account یا No connection دیدید، ابتدا نام سرور و سپس اینترنت را بررسی کنید.",,
43,دانش پایه و رویه‌های متاتریدر ۵,MT5-PROC-0002,مشکلی نداره به پلنم چند مورد اضافه کنم؟ فکر کنم یک فیلتر کلی اضافه کنم برایندم فرق می‌کند.,فقط متاتریدر ۵,رویه,نمایش نمادهای پنهان در Market Watch (متاتریدر ۵),"اگر نمادی مثل XAUUSD در Market Watch دیده نمی‌شود، معمولاً نماد پنهان است نه اینکه بروکر آن را نداشته باشد. با پنجره‌ی Symbols می‌توان نماد را نمایش داد.

گام‌ها:
1. روی پنجره‌ی Market Watch راست‌کلیک کنید و Symbols را بزنید (یا Ctrl+U).
2. در درخت گروه‌ها یا کادر جست‌وجو نام نماد را پیدا کنید.
3. نماد را انتخاب و روی Show بزنید، سپس پنجره را ببندید.

هشدارها:
- پسوند نماد بین بروکرها فرق می‌کند (مثلاً EURUSD.m یا XAUUSD_i)؛ همیشه نام دقیق بروکر خودتان را جست‌وجو کنید.",,
44,دانش پایه و رویه‌های متاتریدر ۵,MT5-PROC-0003,معامله باز نمی‌شه,فقط متاتریدر ۵,رویه,باز کردن معامله و انواع سفارش در متاتریدر ۵,"پنجره‌ی New Order با کلید F9 یا دکمه‌ی New Order باز می‌شود. در متاتریدر ۵ نوع اجرا (Type) می‌تواند Market Execution یا Pending Order باشد و شش نوع سفارش معلق در دسترس است: Buy Limit، Sell Limit، Buy Stop، Sell Stop، Buy Stop Limit و Sell Stop Limit.

گام‌ها:
1. نماد موردنظر را در Market Watch انتخاب کنید.
2. کلید F9 را بزنید تا پنجره‌ی New Order باز شود.
3. حجم (Volume) را بر اساس مدیریت ریسک خود وارد کنید.
4. در صورت نیاز Stop Loss و Take Profit را وارد کنید.
5. برای ورود فوری Buy/Sell را بزنید یا Type را روی Pending Order بگذارید و قیمت فعال‌سازی را وارد کنید.

هشدارها:
- حجم پیش‌فرض پنجره را بدون بررسی تغییر ندهید؛ ورود با حجم اشتباه یکی از پرتکرارترین خطاهاست.",,
45,دانش پایه و رویه‌های متاتریدر ۵,MT5-PROC-0004,استیتمنت یک‌ماهه دارم و حداکثر ضرر ماهانه‌ام ۳۰٪ تاچ شد. چه کار کنم؟,فقط متاتریدر ۵,رویه,تنظیم یا تغییر حد ضرر و حد سود روی معامله‌ی باز (متاتریدر ۵),"برای افزودن یا تغییر SL/TP روی یک پوزیشن باز، از تب Trade در پنجره‌ی Toolbox استفاده می‌شود.

گام‌ها:
1. پنجره‌ی Toolbox را باز کنید (Ctrl+T) و به تب Trade بروید.
2. روی پوزیشن موردنظر راست‌کلیک و Modify or Delete Position را بزنید.
3. مقادیر Stop Loss و Take Profit را وارد کنید.
4. روی دکمه‌ی Modify بزنید و اعمال شدن مقادیر را در تب Trade بررسی کنید.

اشتباهات رایج:
- دور کردن حد ضرر هنگام ضرر؛ این کار مدیریت ریسک را از بین می‌برد.",,
46,دانش پایه و رویه‌های متاتریدر ۵,MT5-PROC-0008,آربیتراژ یعنی چی؟,فقط متاتریدر ۵,رویه,تنظیم انحراف مجاز و نوع پر شدن سفارش (Deviation و Filling),"در پنجره‌ی New Order متاتریدر ۵ دو تنظیم مهم وجود دارد: Deviation که حداکثر انحراف قابل قبول قیمت را مشخص می‌کند، و نوع پر شدن سفارش — در پنجره‌ی New Order با برچسب «Fill policy» و در Specification نماد با برچسب «Filling» — که تعیین می‌کند سفارش در صورت نبود حجم کافی چه رفتاری داشته باشد: Fill or Kill (یا کامل اجرا شود یا لغو)، Immediate or Cancel (بخش موجود اجرا و بقیه لغو) و Return (بخش موجود اجرا و باقی‌مانده به‌صورت سفارش باقی می‌ماند). گزینه‌های در دسترس را بروکر تعیین می‌کند.

گام‌ها:
1. پنجره‌ی New Order را باز کنید (F9).
2. در صورت نمایش گزینه‌ی Deviation، مقدار مجاز را بر حسب پوینت وارد کنید.
3. نوع پر شدن سفارش را از فهرست Fill policy انتخاب کنید.
4. سفارش را ثبت و نتیجه را در تب Journal بررسی کنید.",,
47,دانش پایه و رویه‌های متاتریدر ۵,MT5-PROC-0009,,فقط متاتریدر ۵,رویه,استفاده از عمق بازار (Depth of Market),"عمق بازار سفارش‌های خرید و فروش در سطوح مختلف قیمت را نشان می‌دهد و امکان ثبت سریع سفارش از داخل همان پنجره را می‌دهد. نمایش داده‌های واقعی عمق بازار به ارائه‌ی آن از سوی بروکر بستگی دارد.

گام‌ها:
1. در Market Watch روی نماد راست‌کلیک کنید.
2. گزینه‌ی Depth of Market را انتخاب کنید (یا Alt+B).
3. برای نمایش نمودار قیمت و دکمه‌های سفارش، آیکون‌های بالای پنجره را فعال کنید.

هشدارها:
- اگر بروکر داده‌ی عمق بازار ارائه ندهد، پنجره فقط Bid و Ask را نشان می‌دهد.",,
48,دانش پایه و رویه‌های متاتریدر ۵,MT5-PROC-0012,,فقط متاتریدر ۵,رویه,تب‌های تاریخچه: Positions، Orders و Deals,"در متاتریدر ۵ تاریخچه سه نمای متفاوت دارد. Positions پوزیشن‌های بسته‌شده، Orders سفارش‌های ثبت‌شده (اجراشده یا لغوشده) و Deals تراکنش‌های واقعی انجام‌شده روی حساب را نشان می‌دهد. برای بررسی دقیق سود و زیان و کارمزد، نمای Deals مرجع است.

گام‌ها:
1. به تب History در Toolbox بروید.
2. روی ناحیه‌ی تاریخچه راست‌کلیک کنید.
3. یکی از نماهای Positions، Orders یا Deals را انتخاب کنید.
4. در صورت نیاز، بازه‌ی زمانی سفارشی تعیین کنید.",,
49,دانش پایه و رویه‌های متاتریدر ۵,MT5-CONC-0001,,فقط متاتریدر ۵,مفهوم,نوع حساب Netting و Hedging در متاتریدر ۵,"متاتریدر ۵ دو سیستم حسابداری پوزیشن دارد. در حساب Netting برای هر نماد فقط یک پوزیشن وجود دارد و معامله‌ی جدید در جهت مخالف، پوزیشن موجود را کم یا خنثی می‌کند. در حساب Hedging می‌توان چند پوزیشن مستقل و حتی در دو جهت مخالف روی یک نماد داشت. نوع حساب را بروکر هنگام ساخت حساب تعیین می‌کند و کاربر نمی‌تواند آن را تغییر دهد.

تعریف: Netting: یک پوزیشن خالص برای هر نماد. Hedging: امکان چند پوزیشن مستقل روی یک نماد.",,
50,دانش پایه و رویه‌های متاتریدر ۵,MT5-PROC-0013,,فقط متاتریدر ۵,رویه,مدیریت پوزیشن در حساب Netting,"در حساب Netting هر نماد فقط یک پوزیشن دارد. معامله‌ی جدید هم‌جهت، حجم پوزیشن را افزایش و میانگین قیمت ورود را جابه‌جا می‌کند؛ معامله‌ی مخالف، حجم را کاهش می‌دهد و در صورت برابری، پوزیشن را می‌بندد. بنابراین «باز کردن معامله‌ی دوم» در این نوع حساب به معنای داشتن دو معامله‌ی جدا نیست.

گام‌ها:
1. نوع حساب را در عنوان پنجره‌ی Toolbox یا مشخصات حساب بررسی کنید (Netting یا Hedging).
2. برای کاهش حجم، معامله‌ای در جهت مخالف با حجم کمتر ثبت کنید.
3. برای بستن کامل، معامله‌ای مخالف با همان حجم ثبت کنید یا از گزینه‌ی Close استفاده کنید.",,
51,دانش پایه و رویه‌های متاتریدر ۵,MT5-CONC-0002,,فقط متاتریدر ۵,مفهوم,تفاوت Order، Deal و Position در متاتریدر ۵,"متاتریدر ۵ سه موجودیت جدا دارد: Order درخواست معامله است، Deal اجرای واقعی آن درخواست روی سرور، و Position نتیجه‌ی تجمیعی معاملات باز روی یک نماد. یک پوزیشن می‌تواند از چند Deal ساخته شود و یک Order می‌تواند به چند Deal منجر شود. همین ساختار، دلیل تفاوت شمارش معاملات در تاریخچه است.

تعریف: Order: درخواست. Deal: اجرای واقعی. Position: وضعیت باز فعلی نماد.",,
52,دانش پایه و رویه‌های متاتریدر ۵,MT5-CONC-0003,,فقط متاتریدر ۵,مفهوم,سفارش‌های Stop Limit در متاتریدر ۵,"Buy Stop Limit و Sell Stop Limit ترکیبی از دو سفارش‌اند: وقتی قیمت به سطح Stop برسد، یک سفارش Limit در قیمت تعیین‌شده ثبت می‌شود. یعنی ابتدا شکست سطح تأیید می‌شود و سپس ورود در قیمت بهتر انجام می‌گیرد. این دو نوع سفارش در متاتریدر ۴ وجود ندارند.

تعریف: Stop Limit: با رسیدن قیمت به سطح Stop، یک سفارش Limit در قیمت مشخص ثبت می‌شود.

مثال‌ها:
- برای خرید پس از شکست مقاومت اما با پول‌بک: Buy Stop Limit با سطح Stop بالای مقاومت و قیمت Limit پایین‌تر از آن.",,
53,دانش پایه و رویه‌های متاتریدر ۵,MT5-CONC-0004,,فقط متاتریدر ۵,مفهوم,شناسه‌ها در متاتریدر ۵: Order، Position ID و Magic Number,"در متاتریدر ۵ هر سفارش شناسه‌ی خود را دارد و هر پوزیشن یک Position ID جدا. معامله‌های مربوط به یک پوزیشن با همین شناسه به هم متصل می‌شوند، بنابراین برخلاف متاتریدر ۴ با بستن جزئی، شناسه‌ی پوزیشن عوض نمی‌شود. Magic Number همان نقش متاتریدر ۴ را دارد و اکسپرت‌ها با آن معاملات خودشان را تشخیص می‌دهند.

تعریف: Order ID: شناسه‌ی سفارش. Position ID: شناسه‌ی پوزیشن. Magic Number: شناسه‌ی اکسپرت.",,
54,دانش پایه و رویه‌های متاتریدر ۵,MT5-PROC-0005,,فقط متاتریدر ۵,رویه,مشاهده‌ی مشخصات نماد در متاتریدر ۵,"پنجره‌ی Specification اطلاعات کلیدی هر نماد را نشان می‌دهد: اندازه‌ی قرارداد، حداقل و حداکثر حجم، گام حجم، Tick Size و Tick Value، سطح استاپ (Stops Level)، نرخ سواپ، ساعات معاملاتی و نوع اجرا. این مقادیر بین بروکرها متفاوت است و مرجع پاسخ به سؤال‌های «چقدر» و «چه ساعتی» همین پنجره است.

گام‌ها:
1. در Market Watch روی نماد راست‌کلیک کنید.
2. گزینه‌ی Specification را انتخاب کنید.
3. مقادیر موردنیاز (Contract size، Volume limits، Stops level، Swap، Trading hours) را بخوانید.",,
55,دانش پایه و رویه‌های متاتریدر ۵,MT5-PROC-0006,,فقط متاتریدر ۵,رویه,گزارش تاریخچه‌ی معاملات در متاتریدر ۵,"تاریخچه‌ی معاملات در تب History از Toolbox نمایش داده می‌شود و می‌توان از آن گزارش گرفت. در متاتریدر ۵ نمایش تاریخچه بین حالت‌های Positions، Orders و Deals قابل تغییر است.

گام‌ها:
1. Toolbox را باز کنید (Ctrl+T) و به تب History بروید.
2. روی ناحیه‌ی تاریخچه راست‌کلیک و بازه‌ی زمانی دلخواه را انتخاب کنید.
3. برای گرفتن خروجی، راست‌کلیک و Report را بزنید و قالب موردنظر را انتخاب کنید.",,
56,دانش پایه و رویه‌های متاتریدر ۵,MT5-PROC-0007,,فقط متاتریدر ۵,رویه,فعال‌سازی Algo Trading و اجرای اکسپرت در متاتریدر ۵,"برای اجرای اکسپرت (EA) باید دکمه‌ی Algo Trading در نوار ابزار فعال باشد و اکسپرت روی چارت اجرا شده باشد. اگر روی چارت به‌جای صورتک لبخند علامت توقف دیده شود، معامله‌ی خودکار غیرفعال است.

گام‌ها:
1. فایل اکسپرت را در پوشه‌ی MQL5/Experts قرار دهید (File > Open Data Folder).
2. در پنجره‌ی Navigator روی Expert Advisors راست‌کلیک و Refresh بزنید.
3. اکسپرت را روی چارت بکشید و در تب Common گزینه‌ی Allow Algo Trading را تیک بزنید.
4. دکمه‌ی Algo Trading در نوار ابزار را فعال کنید (در متاتریدر ۴ نام همین دکمه AutoTrading است).

هشدارها:
- پیش از اجرای هر اکسپرت روی حساب واقعی، آن را روی حساب دمو آزمایش کنید.",,
57,دانش پایه و رویه‌های متاتریدر ۵,MT5-PROC-0010,,فقط متاتریدر ۵,رویه,تقویم اقتصادی داخلی متاتریدر ۵,"متاتریدر ۵ تقویم اقتصادی داخلی دارد که در تب Calendar از Toolbox نمایش داده می‌شود و می‌توان رویدادهای مهم را روی چارت هم مشاهده کرد. فهرست کشورها و اهمیت رویدادها قابل فیلتر کردن است.

گام‌ها:
1. Toolbox را باز کنید (Ctrl+T) و به تب Calendar بروید.
2. با فیلترهای بالای پنجره، کشور و درجه‌ی اهمیت رویداد را انتخاب کنید.
3. برای نمایش رویدادها روی چارت، گزینه‌ی نمایش رویدادها را در تنظیمات چارت فعال کنید.",,
58,دانش پایه و رویه‌های متاتریدر ۵,MT5-PROC-0014,,فقط متاتریدر ۵,رویه,دانلود داده‌های تاریخی نماد,"متاتریدر ۵ داده‌های تاریخی را به‌صورت خودکار از سرور دریافت می‌کند، اما برای بک‌تست دقیق می‌توان داده‌ی کندلی یا تیکی یک نماد را از پنجره‌ی Symbols به‌صورت دستی دانلود کرد.

گام‌ها:
1. پنجره‌ی Symbols را باز کنید (Ctrl+U).
2. نماد را انتخاب و به تب Bars یا Ticks بروید.
3. بازه‌ی زمانی موردنظر را مشخص و دکمه‌ی Request را بزنید.
4. پس از پایان دانلود، چارت را ببندید و دوباره باز کنید.",,
59,دانش پایه و رویه‌های متاتریدر ۴,MT4-CONC-0001,چند تا سناریو داشته باشم؟,فقط متاتریدر ۴,مفهوم,حسابداری معاملات در متاتریدر ۴ (فقط Hedging),"متاتریدر ۴ فقط سیستم Hedging دارد: هر معامله یک تیکت مستقل است و می‌توان همزمان چند معامله‌ی خرید و فروش روی یک نماد باز داشت. مفهوم «پوزیشن خالص» (Netting) در متاتریدر ۴ وجود ندارد.

تعریف: در متاتریدر ۴ هر سفارش یک معامله‌ی مستقل با تیکت مجزاست.",,
60,دانش پایه و رویه‌های متاتریدر ۴,MT4-PROC-0001,چطور وارد تیم معامله‌گری بشم؟,فقط متاتریدر ۴,رویه,ورود به حساب معاملاتی در متاتریدر ۴,"در متاتریدر ۴ اتصال به حساب از منوی File > Login to Trade Account انجام می‌شود و به شماره‌ی حساب، رمز عبور و سرور بروکر نیاز دارد. وضعیت اتصال در گوشه‌ی پایین-راست نمایش داده می‌شود.

گام‌ها:
1. منوی File و سپس Login to Trade Account را باز کنید.
2. شماره حساب، رمز عبور و سرور بروکر را وارد کنید.
3. OK را بزنید و نوار وضعیت پایین-راست را بررسی کنید.

هشدارها:
- اگر سرور بروکر در فهرست نبود، باید از نصاب اختصاصی همان بروکر استفاده کنید تا سرور به فهرست اضافه شود.",,
61,دانش پایه و رویه‌های متاتریدر ۴,MT4-PROC-0003,معامله باز نمی‌شه,فقط متاتریدر ۴,رویه,باز کردن معامله و انواع سفارش در متاتریدر ۴,"پنجره‌ی Order با کلید F9 باز می‌شود. متاتریدر ۴ چهار نوع سفارش معلق دارد: Buy Limit، Sell Limit، Buy Stop و Sell Stop. سفارش‌های Stop Limit فقط در متاتریدر ۵ وجود دارند.

گام‌ها:
1. نماد را در Market Watch انتخاب کنید.
2. کلید F9 را بزنید.
3. حجم (Volume)، و در صورت نیاز Stop Loss و Take Profit را وارد کنید.
4. برای ورود فوری Buy یا Sell را بزنید یا Type را روی Pending Order بگذارید.",,
62,دانش پایه و رویه‌های متاتریدر ۴,MT4-PROC-0007,آربیتراژ یعنی چی؟,فقط متاتریدر ۴,رویه,تستر استراتژی متاتریدر ۴ و کیفیت مدل‌سازی,"تستر استراتژی متاتریدر ۴ با Ctrl+R باز می‌شود و فقط روی یک نماد کار می‌کند. پس از پایان تست، مقدار Modelling quality در گزارش نشان می‌دهد داده‌ی استفاده‌شده چقدر قابل اتکا بوده است؛ کیفیت پایین یعنی نتیجه‌ی بک‌تست قابل استناد نیست.

گام‌ها:
1. کلید Ctrl+R را بزنید تا Strategy Tester باز شود.
2. اکسپرت، نماد، تایم‌فریم و مدل تست (مثلاً Every tick) را انتخاب کنید.
3. بازه‌ی زمانی و سپرده‌ی اولیه را مشخص کنید.
4. Start را بزنید و پس از پایان، تب Report و مقدار Modelling quality را بررسی کنید.

هشدارها:
- تست چندنمادی و بهینه‌سازی موازی در متاتریدر ۴ پشتیبانی نمی‌شود.",,
63,دانش پایه و رویه‌های متاتریدر ۴,MT4-PROC-0004,,فقط متاتریدر ۴,رویه,تنظیم حد ضرر و حد سود روی معامله‌ی باز (متاتریدر ۴),"در متاتریدر ۴ حد ضرر و حد سود از تب Trade در پنجره‌ی Terminal تنظیم می‌شود.

گام‌ها:
1. پنجره‌ی Terminal را باز کنید (Ctrl+T) و به تب Trade بروید.
2. روی معامله راست‌کلیک و Modify or Delete Order را بزنید.
3. مقادیر Stop Loss و Take Profit را وارد و Modify را بزنید.",,
64,دانش پایه و رویه‌های متاتریدر ۴,MT4-PROC-0006,,فقط متاتریدر ۴,رویه,بارگذاری داده‌های تاریخی با History Center,"متاتریدر ۴ داده‌های تاریخی را به‌صورت خودکار و کامل دانلود نمی‌کند. برای بک‌تست یا مشاهده‌ی گذشته‌ی دورتر باید از History Center استفاده کرد. مقدار داده‌ی نگهداری‌شده هم به تنظیم Max bars in history محدود است.

گام‌ها:
1. منوی Tools > History Center را باز کنید (یا F2).
2. نماد و تایم‌فریم موردنظر را از درخت سمت چپ انتخاب کنید.
3. دکمه‌ی Download را بزنید و منتظر پایان دریافت بمانید.
4. در Tools > Options > Charts مقدار Max bars in history و Max bars in chart را افزایش دهید.
5. پلتفرم را ببندید و دوباره باز کنید.

هشدارها:
- داده‌ی دانلودشده از سرور متاکوتس ممکن است با داده‌ی بروکر شما تفاوت داشته باشد.",,
